N Drinks Volume Price
530 Milk 0.42 42.7
531 Gin 1.3 8.5
532 Brandy 1.81 30.9
533 Fanta 1.13 42.2
534 Brandy 0.91 7.4
535 Lemonade 1.69 3.7
536 Fanta 0.86 10.2
537 Lemonade 0.6 13.7
538 Tonic 1.71 27.6
539 Vodka 0.5 35.4
540 Lemonade 0.83 7.3
541 Gin 1.33 1.9
542 Rum 0.55 39.9
543 Tea 0.47 19.4
544 Milk 0.35 41.2
545 Juice 1.67 11.8
546 Cola 0.45 26.4
547 Vodka 0.66 11.2
548 Champagne 0.89 17.7
549 Cider 0.77 10.9
550 Whiskey 1.17 15.7
551 Water 0.68 31.7
552 Sprite 0.8 16.0
553 Wine 1.38 22.3
554 Beer 1.52 15.9
555 Juice 1.26 4.0
556 Juice 0.73 5.7
557 Cider 1.31 48.0
558 Sprite 0.43 30.7
559 Gin 1.87 19.2
560 Sprite 0.58 8.9
561 Sprite 0.52 29.4
562 Milk 1.93 27.8
563 Coffee 1.18 30.2
564 Milk 1.46 5.5
565 Coffee 1.53 27.3
566 Fanta 0.83 46.0
567 Sprite 0.39 33.4
568 Juice 0.93 21.7
569 Fanta 1.53 45.2
570 Tea 1.89 15.8
571 Gin 1.28 27.3
572 Coffee 1.23 28.7
573 Vodka 0.81 18.4
574 Beer 1.36 26.1
575 Milk 0.68 42.5
576 Milk 1.63 44.4
577 Milk 1.93 10.8
578 Cider 1.15 30.3
579 Wine 1.11 8.4
580 Water 1.43 26.3
581 Sprite 1.24 1.9
582 Tonic 0.28 8.3
583 Fanta 0.83 9.6
584 Tonic 1.2 27.0
585 Tea 1.73 3.0
586 Milk 0.38 37.1
587 Fanta 0.76 36.2
588 Rum 1.3 34.5
589 Tonic 0.41 39.2
590 Sprite 0.6 41.4
591 Juice 1.87 43.1
592 Milk 1.59 44.7
593 Beer 0.56 36.8
594 Water 1.61 26.2
595 Cola 0.89 3.8
596 Sprite 0.35 16.0
597 Whiskey 1.91 44.1
598 Wine 1.19 33.9
599 Fanta 1.27 2.2
600 Milk 1.78 3.9
601 Whiskey 1.77 46.0
602 Beer 0.56 6.7
603 Coffee 1.64 20.6
604 Cider 1.53 9.4
605 Champagne 0.58 33.5
606 Juice 1.67 10.0
607 Gin 0.57 43.8
608 Tea 1.17 19.2
609 Vodka 1.55 28.8
610 Water 1.9 34.2
611 Sprite 0.76 7.7
612 Champagne 1.18 24.8
613 Beer 0.36 12.6
614 Cider 0.5 6.8
615 Cola 1.18 27.1
616 Juice 1.01 30.5
617 Cola 1.88 3.9
618 Whiskey 0.47 41.7
619 Gin 0.61 13.0
620 Lemonade 1.8 7.1
621 Milk 0.31 18.3
622 Milk 0.58 13.5
623 Rum 1.26 0.9
624 Cola 1.11 37.0
625 Fanta 0.51 40.3
626 Coffee 1.49 2.6
627 Beer 0.23 3.9
628 Gin 1.47 47.0
629 Sprite 1.03 49.4
630 Whiskey 1.46 31.9
631 Coffee 0.39 8.4
632 Rum 1.16 38.9
633 Rum 1.06 9.3
634 Gin 0.4 32.9
635 Wine 0.43 12.8
636 Gin 0.64 31.1
637 Whiskey 0.87 10.4
638 Sprite 0.9 6.4
639 Vodka 1.74 19.3
640 Juice 0.9 18.4
641 Sprite 1.36 37.3
642 Rum 1.77 6.5
643 Vodka 1.46 3.8
644 Milk 1.87 34.9
645 Champagne 0.44 47.2
646 Tonic 0.89 39.5
647 Fanta 1.47 49.3
648 Tea 1.45 18.0
649 Juice 1.66 3.4
650 Coffee 0.7 8.0
651 Champagne 1.51 48.0
652 Lemonade 1.06 30.2
653 Rum 1.53 39.6
654 Cider 1.73 46.4
655 Cola 1.4 21.9
656 Tea 1.93 32.5
657 Cider 1.77 39.2
658 Beer 1.03 5.0
659 Whiskey 1.45 11.2
660 Tonic 1.9 47.4
661 Vodka 0.69 48.6
662 Brandy 1.45 32.1
663 Vodka 0.65 18.8
664 Soda 1.28 31.2
665 Cola 1.28 39.2
666 Rum 0.73 17.6
667 Tea 1.09 27.7
668 Tonic 1.99 24.2
669 Cola 0.72 13.2
670 Brandy 1.16 40.1
671 Lemonade 1.86 17.6
672 Wine 1.2 40.2
673 Whiskey 0.73 41.5
674 Cola 1.61 42.3
675 Lemonade 1.46 11.2
676 Fanta 0.88 46.4
677 Beer 0.55 43.1
678 Tea 1.76 2.7
679 Whiskey 0.57 6.9
680 Cola 1.28 22.0
681 Lemonade 1.26 46.2
682 Brandy 0.93 42.3
683 Water 1.49 20.2
684 Champagne 0.6 8.6
685 Wine 1.84 48.7
686 Fanta 1.1 29.1
687 Tea 0.97 12.8
688 Tea 0.55 29.7
689 Cola 1.96 15.8
690 Vodka 1.57 9.3
691 Cider 1.65 15.6
692 Tea 1.27 17.7
693 Gin 1.38 29.3
694 Whiskey 1.3 19.9
695 Beer 1.74 13.7
696 Gin 0.74 11.0
697 Rum 1.0 10.5
698 Tonic 1.45 1.4
699 Soda 1.43 16.8
700 Juice 0.99 31.3
701 Lemonade 1.44 13.9
702 Wine 0.55 39.5
703 Cider 0.51 5.6
704 Beer 1.1 26.1
705 Coffee 1.4 39.6
706 Cider 0.96 10.9
707 Champagne 1.58 46.5
708 Soda 0.87 11.1
709 Water 1.73 40.2
710 Juice 0.35 25.2
711 Sprite 0.65 49.6
712 Vodka 0.85 48.1
713 Gin 0.32 30.7
714 Lemonade 0.53 4.3
715 Fanta 0.46 9.9
716 Gin 1.92 49.8
717 Cider 1.34 45.1
718 Tonic 0.33 12.7
719 Soda 0.77 37.5
720 Milk 0.55 37.1
721 Fanta 1.17 4.6
722 Lemonade 1.95 47.2
723 Water 1.03 15.9
724 Gin 1.02 15.3
725 Beer 1.81 39.7
726 Juice 1.25 38.5
727 Wine 0.57 18.3
728 Soda 0.52 32.5
729 Soda 1.19 4.4
730 Milk 1.53 28.1
731 Wine 1.35 24.8
732 Sprite 1.8 49.0
733 Juice 0.56 11.6
734 Sprite 1.28 36.2
735 Milk 1.21 8.1
736 Cider 1.86 5.2
737 Milk 1.48 18.9
738 Tonic 0.76 18.5
739 Sprite 1.07 37.0
740 Beer 0.56 28.6
741 Cider 1.66 32.1
742 Milk 0.55 30.1
743 Coffee 1.02 29.7
744 Tonic 1.19 42.3
745 Coffee 0.68 29.7
746 Cola 1.86 41.2
747 Cider 1.19 5.8
748 Milk 1.59 23.6
749 Whiskey 1.44 33.8
750 Tonic 1.44 2.3
751 Rum 0.28 19.9
752 Beer 1.22 40.9
753 Milk 0.38 8.2
754 Juice 1.73 46.0
755 Coffee 1.52 36.4
756 Lemonade 1.51 36.3
757 Sprite 0.35 46.0
758 Rum 0.28 47.1
759 Brandy 0.44 49.3
760 Milk 1.79 16.1
761 Coffee 0.4 45.7
762 Gin 1.33 13.7
763 Coffee 1.15 49.9
764 Coffee 0.38 20.2
765 Coffee 0.59 30.8
766 Coffee 1.39 36.2
767 Coffee 1.52 40.3
768 Milk 1.72 17.6
769 Juice 1.11 14.7
770 Beer 1.52 39.9
771 Tonic 0.29 8.0
772 Vodka 1.43 45.6
773 Whiskey 0.62 18.8
774 Sprite 1.15 48.0
775 Vodka 2.0 19.0
776 Whiskey 1.86 11.1
777 Water 1.91 42.4
778 Milk 1.66 33.4
779 Lemonade 1.67 31.5
780 Soda 1.04 35.6
781 Tonic 0.64 5.4
782 Vodka 1.57 43.9
783 Lemonade 1.37 20.3
784 Lemonade 0.28 4.3
785 Cider 0.88 1.6
786 Brandy 0.55 1.5
787 Brandy 0.99 23.8
788 Coffee 0.89 43.0
789 Soda 1.02 19.6
790 Tonic 1.82 44.0
791 Brandy 1.96 42.0
792 Gin 0.38 29.5
793 Soda 0.36 42.9
794 Champagne 0.43 39.4
795 Lemonade 1.85 4.1
796 Vodka 0.37 24.9
797 Brandy 1.38 29.8
798 Milk 0.83 10.3
799 Cider 1.1 20.0
800 Brandy 1.2 41.2
801 Soda 1.34 22.3
802 Vodka 1.64 47.6
803 Wine 0.99 30.8
804 Brandy 0.81 40.2
805 Cola 1.91 34.9
806 Sprite 1.24 19.9
807 Whiskey 1.7 46.3
808 Cider 0.94 22.4
809 Rum 1.62 21.1
810 Tea 1.52 40.3
811 Brandy 1.49 32.7
812 Cola 0.45 24.5
813 Fanta 1.54 26.5
814 Cola 1.37 32.0
815 Water 1.94 40.8
816 Gin 0.7 42.5
817 Coffee 0.74 12.9
818 Juice 0.82 50.0
819 Whiskey 1.23 25.7
820 Water 1.24 43.9
821 Champagne 0.98 49.2
822 Milk 1.64 3.9
823 Lemonade 0.24 10.4
824 Champagne 1.84 33.6
825 Champagne 0.93 27.1
826 Tea 1.65 17.6
827 Beer 1.51 25.4
828 Tea 0.41 36.5
829 Gin 0.23 40.7
830 Champagne 1.94 38.9
831 Gin 1.04 29.5
832 Brandy 0.3 37.2
833 Rum 1.7 17.9
834 Gin 0.38 30.5
835 Water 1.05 43.9
836 Vodka 0.23 20.4
837 Tonic 1.17 15.1
838 Juice 1.7 31.0
839 Brandy 1.52 4.2
840 Vodka 1.86 3.2
841 Beer 1.31 7.2
842 Sprite 1.06 35.4
843 Cola 0.98 41.7
844 Juice 1.3 25.0
845 Gin 0.78 33.0
846 Water 1.95 32.5
847 Brandy 0.89 20.3
848 Vodka 1.2 16.8
849 Wine 1.11 41.1
850 Tea 0.38 12.0
851 Fanta 0.3 11.0
852 Vodka 0.42 4.4
853 Whiskey 1.89 29.4
854 Brandy 0.96 19.4
855 Champagne 0.76 3.7
856 Gin 1.91 20.4
857 Rum 0.98 11.0
858 Coffee 0.24 13.3
859 Brandy 1.06 35.3
860 Wine 1.01 17.2
861 Coffee 1.02 47.6
862 Fanta 1.15 48.0
863 Gin 0.55 48.8
864 Water 0.41 14.5
865 Champagne 0.75 2.8
866 Vodka 0.51 12.2
867 Vodka 0.93 32.4
868 Lemonade 1.32 49.3
869 Gin 2.0 27.0
870 Sprite 1.92 26.2
871 Coffee 0.89 35.3
872 Beer 0.29 34.1
873 Brandy 0.79 21.5
874 Cider 1.28 13.0
875 Cola 1.84 13.2
876 Milk 1.76 2.0
877 Whiskey 0.73 22.4
878 Soda 1.08 8.1
879 Gin 0.76 31.1
880 Rum 1.54 7.6
881 Vodka 0.51 12.2
882 Soda 1.72 31.0
883 Coffee 1.31 5.5
884 Tea 1.72 21.3
885 Cola 0.78 0.7
886 Fanta 1.69 44.7
887 Milk 1.66 29.0
888 Milk 1.14 48.9
889 Rum 1.8 23.3
890 Water 1.14 7.0
891 Fanta 1.15 9.4
892 Fanta 1.7 40.5
893 Gin 1.36 24.9
894 Tea 1.46 25.3
895 Gin 0.82 44.3
896 Wine 1.27 5.2
897 Juice 0.43 5.0
898 Brandy 0.58 14.7
899 Milk 1.78 24.0
900 Beer 1.7 44.8
901 Fanta 1.7 34.1
902 Tonic 0.28 5.5
903 Beer 0.85 35.6
904 Wine 0.27 41.2
905 Gin 0.58 10.3
906 Champagne 1.54 31.0
907 Rum 0.94 11.3
908 Tonic 0.54 26.2
909 Juice 1.0 30.2
910 Cider 1.31 38.2
911 Rum 1.82 24.0
912 Coffee 0.86 46.6
913 Rum 0.85 34.6
914 Soda 1.17 26.6
915 Brandy 0.46 31.1
916 Gin 2.0 45.4
917 Cider 1.93 27.7
918 Lemonade 1.16 13.8
919 Water 0.7 9.1
920 Rum 0.38 23.6
921 Champagne 0.69 24.0
922 Water 1.81 21.5
923 Water 1.52 28.3
924 Soda 0.22 34.1
925 Soda 1.63 14.1
926 Wine 1.64 5.7
927 Brandy 0.59 23.5
928 Cider 1.23 49.3
929 Brandy 1.42 37.4
930 Milk 0.22 4.8
931 Sprite 0.8 44.3
932 Tea 1.16 32.2
933 Coffee 0.86 18.5
934 Gin 0.79 46.0
935 Cola 0.32 8.9
936 Milk 0.9 33.3
937 Rum 0.26 42.1
938 Wine 1.6 7.9
939 Vodka 1.4 16.1
940 Sprite 1.9 29.5
941 Beer 0.25 23.9
942 Cider 1.14 17.4
943 Vodka 1.23 25.5
944 Coffee 1.06 48.2
945 Wine 0.64 30.5
946 Fanta 0.48 31.4
947 Tea 1.83 19.0
948 Cola 0.64 42.3
949 Tea 1.73 10.1
950 Whiskey 1.4 20.0
951 Milk 0.78 36.2
952 Coffee 1.64 28.4
953 Whiskey 1.77 29.4
954 Champagne 1.62 41.7
955 Cola 1.55 30.1
956 Tea 0.73 8.5
957 Cola 1.01 32.1
958 Cola 1.95 18.6
959 Sprite 1.49 26.6
960 Cider 1.28 50.0
961 Lemonade 0.86 39.0
962 Tea 0.33 14.2
